publishedAt,authorDisplayName,textDisplay,likeCount
2023-01-06T04:10:58Z,arockkapak90an,di malaysia ramai user ip 14 cuma pakai beberapa bulan je lepastu ramai yg jual di market place dan kembali ke ip 13 or 12 11pm 😅😅😅😅,0
2023-01-05T15:26:25Z,𝓚𝓪𝓻𝔂𝓪 𝓟𝓪𝓵𝓪𝓫𝓾𝓱𝓪𝓷𝓻𝓪𝓽𝓾,Terimakasih informasinya,0
2023-01-05T13:00:55Z,thomi nexus,kak kasi hp iphone dong buat sekolah,0
2023-01-10T09:30:44Z,YuroXyzora😎⃢⃠⃟ᥫ᭡,sekolah skrg ga bawa hp,1
2023-01-05T11:52:48Z,Bella Nurachmaudina,"Yaallah aku ngapain nontonn inii gabakal kebeli jugaa &gt;,&lt;",1
2023-01-09T16:19:27Z,Aan Afian,Wkwk sm bro cmn bisa liat g bisa memiliki😂👍👍,0
2023-01-09T16:19:17Z,Aan Afian,Wkwk sm bro cmn bisa liat g bisa memiliki😂👍👍,0
2023-01-05T05:08:04Z,A Nugroho,Salah satu channel terbaik,0
2023-01-05T01:02:09Z,Bedil chanel,Alhamdulillah udah beli,0
2023-02-14T11:20:30Z,Syarifudin Baharsyah,Semoga berkah iPhonenya Aamiin,0
2023-01-04T18:50:16Z,Dyana Putry,Yuk bisa beli yuk. الله شولي على سيدنا محمد,0
2023-01-04T18:17:56Z,Hello Tacha,gegara nonton ini aku jadi beli iphone 14promax😭😭 tpi agak susah unitnya huhu,0
2023-01-04T13:41:37Z,Hobi Mancing,"Tompel itu jelas ganggu banget bang,kalo kita lagi maen snake, uler nya ga keliatan timbul dari situ😭",0
2023-01-04T12:57:55Z,Rumah Kita,Next series pasti yg diubah bagian kameranya,0
2023-01-03T13:36:24Z,HEALING ID,"Kapan ya ka, ip 14 pro ada lgi di pasaran ...<br>Skrang nyari barangnya dinana  mana kosong",0
2023-01-02T21:50:10Z,Muhammad Syahyuda,Gw baru beli pakai sebulan udah ngebug wkwkw mahal doang pakai error mending xiomi sih,0
2023-01-02T16:24:43Z,tasya,semoga tahun depan bisa dapat,0
2023-01-02T14:58:04Z,Daeng` Boss,Hanya bisa mimpi,0
2023-01-02T08:33:35Z,177002013 Muthia Widya,Salfok sm gopay coinnya bang david ada sejuta wkwk kata gua mah mending buat gua wkwk,0
